Year,RWI C004001FASY
1961,1.14730428707732
1962,0.90598884107301
1963,0.764295925371654
1964,1.02275309597267
1965,0.950047552403671
1966,1.1550620137431
1967,1.13059383611439
1968,1.03018010373821
1969,1.06571008173971
1970,1.12651481779909
1971,0.873288410993975
1972,0.947956337816116
1973,1.06731548096559
1974,1.0105939342683
1975,0.949263568648269
1976,0.773744102323413
1977,0.996692438276316
1978,0.789417674920921
1979,0.885471349735776
1980,0.977168649171615
1981,0.977002149128167
1982,1.12691968988471
1983,0.962128640573508
1984,0.942091188829535
1985,1.10185671190744
1986,1.01411571618988
1987,1.06118337603836
1988,1.12035426948614
1989,1.06692605001926
1990,1.23064611546923
1991,1.10737066009083
1992,0.855018387187388
1993,0.751275373574425
1994,0.981978039067214
1995,0.822572916064003
1996,0.799716568474022
1997,0.978223163232141
1998,0.975491438586553
1999,1.14289741491715
2000,0.84855347934635
2001,1.14535843483808
2002,0.867228034084253
2003,0.686339849929725
2004,0.948014722805998
2005,0.968003905255517
2006,1.16424160509323
2007,0.801837650364915
2008,1.27720383088726
2009,1.34019351423742
2010,0.921329606125375
2011,0.856711557197192
2012,0.846576160101235
2013,0.753458322030644
2014,1.4847406987714
2015,1.32774794325383
2016,0.65686886842748
2017,0.886469124341603
2018,0.90616813911506
